カテゴリ,大分類,中分類,機能名,概要,現状,重要度,備考,追加機能フラグ
テナント機能,支払い管理【核心機能】,売上・請求管理,入金管理,入金確認・消込・レポート機能,既存,最高,★核心機能,
テナント機能,支払い管理【核心機能】,売上・請求管理,請求書発行,電子請求書の自動生成と配信,既存,最高,基本機能,
テナント機能,レッスン・イベント,オンラインレッスン,ライブ配信,Zoom/YouTube連携によるリアルタイム配信,実装中,高,2025年6月議事録継続,
テナント機能,レッスン・イベント,オンラインレッスン,録画視聴,オンデマンド視聴と視聴期限管理,実装中,中,2025年6月議事録継続,
テナント機能,レッスン・イベント,オンラインレッスン,ハイブリッド対応,対面/オンライン同時開催の予約管理,実装中,中,2025年6月議事録継続,
テナント機能,レッスン・イベント,オンラインレッスン,視聴分析,視聴時間・離脱率の分析,新規開発,低,分析機能,
テナント機能,レッスン・イベント,イベント・ワークショップ,イベント作成,単発/複数回のイベント設定,既存,高,基本機能,
テナント機能,レッスン・イベント,イベント・ワークショップ,チケット販売,電子チケット発行・QRコード認証,既存,高,基本機能,
テナント機能,レッスン・イベント,イベント・ワークショップ,定員管理,リアルタイム残席表示・満席時の対応,既存,中,基本機能,
テナント機能,レッスン・イベント,イベント・ワークショップ,ダンスキャンプ管理,複数日程の統合管理（1day/2day/3day券）,機能拡張,中,2025年6月議事録要件,
テナント機能,レッスン・イベント,イベントマーケティング,イベント参加者管理,参加履歴の記録・属性分析,新規開発,高,2025年7月議事録重要機能,
テナント機能,レッスン・イベント,イベントマーケティング,大型イベント対応,年最大イベント（お盆等）の管理・休校期間連携,新規開発,高,2025年7月議事録重要機能,
テナント機能,レッスン・イベント,イベントマーケティング,イベント後プロモーション,参加者への自動メール配信・チラシ配布記録連携,新規開発,高,2025年7月議事録重要機能,
テナント機能,レッスン・イベント,イベント統合,イベント情報アグリゲーター,全国のダンスイベント情報を自動収集・表示,新規開発,中,2025年8月議事録要件,★追加
テナント機能,レッスン・イベント,イベント予約,イベント横断予約,複数イベントの一括予約・管理機能,新規開発,中,2025年8月議事録要件,★追加
テナント機能,レッスン・イベント,コラボレーション,イベントコラボレーション機能,他団体とのイベント共同開催支援,新規開発,中,2025年8月議事録要件,★追加
テナント機能,体験レッスン,体験管理,体験レッスン応募システム,Web応募フォームとマイページ連携・自動バーチャル会員化,機能拡張,最高,2025年7月議事録重要機能,
テナント機能,体験レッスン,体験管理,定期開催管理,週1〜2回の定期開催管理（渋谷校・スクランブル校中心）,新規開発,高,2025年7月議事録重要機能,
テナント機能,体験レッスン,プロモーション,体験後アンケート,自動アンケート配信（Googleフォーム→システム内統合）,新規開発,最高,2025年7月議事録重要機能,
テナント機能,体験レッスン,プロモーション,段階的プロモーション,体験者への段階的プロモーション・本会員移行導線,新規開発,最高,2025年7月議事録重要機能,
テナント機能,体験レッスン,プロモーション,フォローアップ支援,スタッフによる電話フォローアップ支援,新規開発,高,2025年7月議事録重要機能,
テナント機能,施設・リソース,レンタルスタジオ,料金自動計算,利用者属性（営利/非営利）・時間帯・設備利用による変動料金,機能拡張,高,2025年6月議事録要件,
テナント機能,施設・リソース,レンタルスタジオ,講師向け優遇,講師専用料金・簡易予約フロー,機能拡張,高,2025年6月議事録要件,
テナント機能,施設・リソース,レンタルスタジオ,鍵管理連携,スマートロックやQRコードによる入退室管理,新規開発,中,効率化,
テナント機能,施設・リソース,レンタルスタジオ,利用実績分析,スタジオ稼働率・収益性の可視化,新規開発,中,分析機能,
テナント機能,施設・リソース,外部連携,ホットペッパー型予約サイト,外部向けスタジオレンタル予約プラットフォーム,新規開発,中,2025年8月議事録要件,★追加
テナント機能,施設・リソース,ネットワーク,外部スタジオネットワーク,他スタジオとの相互予約・連携機能,新規開発,中,2025年8月議事録要件,★追加
テナント機能,施設・リソース,評価管理,スタジオ評価・レビュー機能,利用者によるレビュー・評価システム,新規開発,低,2025年8月議事録要件,★追加
テナント機能,施設・リソース,在庫・物品管理,商品マスタ管理,ダンス用品・ドリンク等の在庫管理,既存,中,基本機能,
テナント機能,施設・リソース,在庫・物品管理,バーコード対応,POSレジ連携による効率的な販売,既存,中,基本機能,
テナント機能,施設・リソース,在庫・物品管理,発注管理,在庫アラートと自動発注提案,新規開発,低,効率化,
テナント機能,施設・リソース,在庫・物品管理,棚卸機能,定期的な在庫確認とロス管理,新規開発,低,効率化,
テナント機能,マーケティング・CRM,顧客コミュニケーション,セグメント配信,属性・行動履歴に基づくターゲティング,機能拡張,高,2025年6月議事録要件,
テナント機能,マーケティング・CRM,顧客コミュニケーション,マーケティングオートメーション,シナリオベースの自動配信,新規開発,中,マーケティング支援,
テナント機能,マーケティング・CRM,顧客コミュニケーション,LINE/SNS連携,公式アカウントとの連携・拡散支援,機能拡張,中,2025年6月議事録要件,
テナント機能,マーケティング・CRM,顧客コミュニケーション,ブラストメール連携,既存システムとの統合,既存,中,基本機能,
テナント機能,マーケティング・CRM,ロイヤリティプログラム,ポイント管理,付与・利用・有効期限の統合管理,機能拡張,中,2025年6月議事録要件,
テナント機能,マーケティング・CRM,ロイヤリティプログラム,友達紹介プログラム,紹介者/被紹介者への自動ポイント付与,機能拡張,高,2025年7月議事録重要機能,
テナント機能,マーケティング・CRM,ロイヤリティプログラム,講師紹介インセンティブ,講師経由の入会特典自動化,新規開発,高,2025年7月議事録重要機能,
テナント機能,マーケティング・CRM,ロイヤリティプログラム,会員ランク特典,ランクに応じた優遇サービス,新規開発,中,ロイヤリティ,
テナント機能,マーケティング・CRM,社内SNS,社内SNS機能,スタッフ間の情報共有・コミュニケーション促進,新規開発,中,2025年8月議事録要件,★追加
テナント機能,マーケティング・CRM,コミュニティ,コミュニティ形成支援,生徒同士のつながりを促進する機能,新規開発,中,2025年8月議事録要件,★追加
テナント機能,分析・レポート,経営ダッシュボード,リアルタイムKPI,売上・会員数・稼働率の即時表示,既存,高,基本機能,
テナント機能,分析・レポート,経営ダッシュボード,前年同期比較,成長率の可視化と要因分析,既存,中,分析機能,
テナント機能,分析・レポート,経営ダッシュボード,予測分析,AIによる売上予測・退会リスク予測,新規開発,低,補助金対象AI機能,
テナント機能,分析・レポート,経営ダッシュボード,カスタムレポート,ドラッグ&ドロップでの自由なレポート作成,新規開発,低,分析機能,
テナント機能,分析・レポート,詳細分析,会員分析,LTV・継続率・離脱要因の深掘り,既存,中,分析機能,
テナント機能,分析・レポート,詳細分析,レッスン分析,人気クラス・講師評価・時間帯分析,既存,中,分析機能,
テナント機能,分析・レポート,詳細分析,財務分析,部門別損益・キャッシュフロー予測,新規開発,中,分析機能,
テナント機能,分析・レポート,詳細分析,競合ベンチマーク,匿名化された他テナントとの比較,新規開発,中,SaaS特有機能,
テナント機能,スタッフ・講師管理,スタッフ管理,勤怠管理,ICカード/QRコードによる打刻・シフト管理,既存,高,基本機能,
テナント機能,スタッフ・講師管理,スタッフ管理,権限管理,役割に応じた機能アクセス制御,既存,高,セキュリティ,
テナント機能,スタッフ・講師管理,スタッフ管理,業績管理,個人/チームKPIの設定と追跡,新規開発,中,人事管理,
テナント機能,スタッフ・講師管理,スタッフ管理,教育管理,研修履歴・スキル管理,新規開発,中,人事管理,
テナント機能,スタッフ・講師管理,人材育成,スタッフローテーション管理,3年周期での計画的な人材育成・配置転換支援,新規開発,中,2025年8月議事録要件,★追加
テナント機能,スタッフ・講師管理,シフト管理,シフト交換マーケット,スタッフ間での自由なシフト交換プラットフォーム,新規開発,中,2025年8月議事録要件,★追加
テナント機能,スタッフ・講師管理,講師管理,講師マイページ,担当レッスン・予約状況の確認,新規開発,最高,2025年6月議事録要件,
テナント機能,スタッフ・講師管理,講師管理,講師スタジオ利用自動化,講師専用UI・安価/無料での予約・鍵管理対応,新規開発,最高,2025年6月議事録要件,
テナント機能,スタッフ・講師管理,講師管理,報酬計算,レッスン数・生徒数に基づく自動計算,新規開発,高,効率化,
テナント機能,スタッフ・講師管理,講師管理,評価管理,生徒からのフィードバック集計,新規開発,最高,品質管理,
テナント機能,ゲーミフィケーション,スタッフ評価,スタッフ成果バッジシステム,業務達成でバッジ獲得・レベルアップ機能,新規開発,中,2025年8月議事録要件,★追加
テナント機能,ゲーミフィケーション,チーム競争,チーム対抗ダッシュボード,店舗間・チーム間での健全な競争促進,新規開発,中,2025年8月議事録要件,★追加
テナント機能,ゲーミフィケーション,インセンティブ,サプライズポイント制度,サプライズ行動を評価・ポイント化する仕組み,新規開発,低,2025年8月議事録要件,★追加
テナント機能,受付・認証システム,QRコード受付,動的QRコード生成,マイページでの毎回可変ユニークQR表示,新規開発,最高,2025年6月議事録重要機能,
テナント機能,受付・認証システム,QRコード受付,不正利用防止,使い回し不正防止・受付時の必須読み取り処理,新規開発,最高,2025年6月議事録重要機能,
テナント機能,受付・認証システム,QRコード受付,電子チケット表示,公演やレッスン時の電子チケット利用者マイページ表示,仕様明確化,高,2025年6月議事録要件,
テナント機能,受付・認証システム,高負荷対応,同時アクセス集中対応,イベント発表会前後の高負荷時処理（最大1000人/1h）,新規開発,最高,2025年6月議事録重要機能,
テナント機能,受付・認証システム,高負荷対応,待機・順番処理,集中アクセス時の待機システム・順番処理設計,新規開発,最高,2025年6月議事録重要機能,
AI・自動化機能,AI・予測最適化,需要予測,レッスン需要予測,過去データに基づくレッスン需要予測,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・予測最適化,需要予測,動的価格設定,需給バランスに応じた料金最適化,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・予測最適化,需要予測,スタッフシフト最適化,AIによる効率的な人員配置,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・予測最適化,需要予測,在庫最適化,需要予測に基づく自動発注提案,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・顧客体験向上,レコメンデーション,レッスンレコメンデーション,個人の嗜好に基づくレッスン提案,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・顧客体験向上,レコメンデーション,チャットボット,24時間対応の自動問い合わせ対応,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・顧客体験向上,レコメンデーション,異常検知,退会リスクの早期発見とアラート,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・顧客体験向上,レコメンデーション,パーソナライゼーション,個人に最適化されたコンテンツ配信,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・顧客体験向上,感情分析,感情分析アラート,スタッフの感情状態を分析しケアが必要な場合にアラート,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI・顧客体験向上,パーソナライズ,パーソナライズドジャーニー,各生徒に最適化された体験・成長パスの自動設計,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI・顧客体験向上,サプライズ提案,自動サプライズ提案,生徒の記念日・達成時の自動サプライズ提案,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI・運営効率化,自動化支援,スタッフ業務支援,未ログイン者への自動案内・フォローアップタスク自動生成,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI・運営効率化,自動化支援,問い合わせ自動化,問い合わせの自動分類・回答提案,新規開発,低,補助金対象AI機能,
AI・自動化機能,AI業務支援,日報分析,AI日報分析システム,成果・情報・感情を自動分析し経営層に重要ポイントを要約,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI業務支援,課題管理,課題自動抽出AI,日報やSlackの会話から課題を自動検出し優先度付きでTodo化,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI業務支援,経営支援,AIユースケ（経営アドバイザーAI）,経営理念に基づいた意思決定支援・経費管理提案,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI業務支援,体験自動化,体験レッスン完全自動化フロー,ケア・DM・フォローアップの完全自動化,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,AI業務支援,議事録作成,自動議事録生成,会議音声からの自動文字起こし・要約生成,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,人材最適化,性格分析,MBTI性格診断統合,スタッフ・講師の性格タイプ管理と相性分析,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,人材最適化,チーム編成,AIチーム編成最適化,性格・スキル・経験を考慮した最適なチーム編成提案,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,人材最適化,講師マッチング,講師マッチングAI,講師同士のコラボレーション最適化（エンを作る機能）,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,シフト管理,自動生成,AIシフト自動作成,需要予測・スタッフ希望・スキルを考慮した完全自動シフト生成,新規開発,低,2025年8月議事録要件,★追加
AI・自動化機能,シフト管理,人員最適化,最適人員配置提案,時間帯別の必要人員をAIが予測・提案,新規開発,低,2025年8月議事録要件,★追加
マーケットプレイス【補助機能】,B2C機能,スタジオ検索,エリア検索機能,都道府県・市区町村・駅名での検索,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,スタジオ検索,ジャンル検索機能,ダンスジャンル（バレエ・ヒップホップ・ジャズ等）での検索,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,スタジオ検索,条件絞り込み機能,料金帯・レベル・年齢・設備での絞り込み,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,スタジオ検索,AI推奨機能,ユーザーの検索履歴と興味に基づくレコメンデーション,新規開発,低,ホットペッパービューティー型AI機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,予約・決済,体験レッスン予約,ワンクリックでの体験レッスン予約,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,予約・決済,オンライン決済,クレジットカード・PayPay・LINE Pay対応,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,予約・決済,マイページ機能,予約履歴・お気に入り・ポイント管理,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2C機能,レビュー,口コミ・評価機能,5段階評価とレビューコメント投稿,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,出店管理,スタジオページ編集,基本情報・写真・動画のアップロード,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,出店管理,SEO最適化,メタタグ・構造化データの自動生成,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,出店管理,掲載プラン管理,無料・ベーシック・プレミアムプランの選択,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,プロモーション,クーポン発行,新規限定・期間限定クーポンの発行,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,プロモーション,キャンペーン管理,早割・グループ割・紹介割の設定,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,プロモーション,ターゲティング配信,属性に応じたメール・プッシュ通知,新規開発,低,ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,分析,アクセス解析,PV・UU・滞在時間・離脱率の分析,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,分析,予約分析,予約率・キャンセル率・リピート率の分析,新規開発,低,★補助機能・ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,B2B機能,分析,ROI測定,広告費用対効果の測定,新規開発,低,ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,アフィリエイト,パートナー管理,アフィリエイター登録,ブロガー・インフルエンサー向け登録,新規開発,低,ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,アフィリエイト,パートナー管理,成果報酬設定,CPA（予約成立）・CPC（クリック）報酬,新規開発,低,ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,アフィリエイト,企業連携,法人会員プログラム,企業の福利厚生としての提携,新規開発,低,ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,アフィリエイト,企業連携,相互送客,他業種（フィットネス・美容）との連携,新規開発,低,ホットペッパービューティー型機能,★ホットペッパー
マーケットプレイス【補助機能】,収益化,スタジオ向け課金,掲載料,月額固定料金（プラン別）,新規開発,中,ホットペッパービューティー型収益モデル,★ホットペッパー
マーケットプレイス【補助機能】,収益化,スタジオ向け課金,成果報酬,予約成立時の手数料（10-20%）,新規開発,中,ホットペッパービューティー型収益モデル,★ホットペッパー
マーケットプレイス【補助機能】,収益化,スタジオ向け課金,広告料,プレミアム掲載・バナー広告料,新規開発,低,ホットペッパービューティー型収益モデル,★ホットペッパー
マーケットプレイス【補助機能】,収益化,消費者向けサービス,プレミアム会員,月額制の優待サービス,新規開発,低,ホットペッパービューティー型収益モデル,★ホットペッパー
システム基盤,セキュリティ・コンプライアンス,データ保護,データ暗号化,保存時/通信時の暗号化,既存,最高,セキュリティ基盤,
システム基盤,セキュリティ・コンプライアンス,データ保護,個人情報保護,GDPR/個人情報保護法準拠,既存,最高,セキュリティ基盤,
システム基盤,セキュリティ・コンプライアンス,データ保護,アクセスログ,全操作の記録と監査証跡,既存,高,セキュリティ基盤,
システム基盤,セキュリティ・コンプライアンス,データ保護,セキュリティ監査,定期的な脆弱性診断とペネトレーションテスト,新規開発,高,セキュリティ基盤,
システム基盤,インテグレーション,外部連携,会計システム連携,主要会計ソフトとのデータ連携,新規開発,中,業務効率化,
システム基盤,インテグレーション,外部連携,決済ゲートウェイ,複数決済サービスの統合管理,既存,高,基本機能,
システム基盤,インテグレーション,外部連携,外部マーケティングツール,MAツール・CRMとの連携,新規開発,低,マーケティング支援,
システム基盤,インテグレーション,外部連携,IoTデバイス連携,入退室管理・防犯カメラシステム,新規開発,低,設備管理,
システム基盤,モバイル対応,レスポンシブ,レスポンシブデザイン,PC/タブレット/スマホ最適化,既存,高,基本機能,
システム基盤,モバイル対応,レスポンシブ,プログレッシブWebアプリ,オフライン対応・プッシュ通知,新規開発,中,UX向上,
システム基盤,モバイル対応,レスポンシブ,ネイティブアプリ,iOS/Android専用アプリ（将来計画）,将来計画,低,UX向上,
システム基盤,モバイル対応,レスポンシブ,QRコード機能,チェックイン・決済・会員証表示,既存,高,基本機能,
移行・導入支援,データ移行,データ取り込み,既存データ取り込み,CSVインポート機能,既存,高,移行必須,
移行・導入支援,データ移行,データ取り込み,データクレンジング,重複排除・形式統一,新規開発,高,移行必須,
移行・導入支援,データ移行,データ取り込み,段階的移行,拠点単位での順次切り替え,新規開発,中,移行戦略,
移行・導入支援,データ移行,データ取り込み,並行稼働期間,新旧システムの同時運用サポート,新規開発,中,移行戦略,
移行・導入支援,導入支援,オンボーディング,オンボーディング,段階的な機能開放,新規開発,高,SaaS特有機能,
移行・導入支援,導入支援,オンボーディング,トレーニング,役割別の操作研修,新規開発,中,SaaS特有機能,
移行・導入支援,導入支援,オンボーディング,ヘルプセンター,操作マニュアル・FAQ・動画ガイド,新規開発,中,SaaS特有機能,
移行・導入支援,導入支援,オンボーディング,サポート体制,チャット/メール/電話サポート,新規開発,高,SaaS特有機能,
会員側機能【ユーザーサイト】,認証・登録,ログイン前,トップページ（未ログイン）,スタジオ紹介・レッスン紹介・アクセス情報の表示,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,認証・登録,ログイン前,会員ログイン,メールアドレス・パスワードでのログイン認証,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,認証・登録,ログイン前,パスワードリセット,メールによるパスワード再設定機能,既存,最高,★会員側核心機能,
