Category,Major Category,Sub Category,Feature Name,Overview,Current Status,Priority,Notes,Additional Feature Flag
Common Services,Authentication & Authorization,Integrated Authentication,Permission Management,Fine-grained permission control with RBAC (Role-Based Access Control),Major Extension,Highest,Multi-tenant foundation,
Common Services,API Gateway,API Management,Unified API Endpoints,Standardization in /api/v1/{tenantId}/ format,Major Change,Highest,Multi-tenant foundation,
Common Services,API Gateway,API Management,Rate Limiting,API usage limits per tenant/user,New Development,High,SaaS revenue foundation,
Common Services,API Gateway,API Management,API Versioning,Gradual upgrade with backward compatibility,New Development,Medium,Operation management,
Common Services,API Gateway,API Management,Developer Portal,API documentation and sandbox environment,New Development,Medium,For developers,
Common Services,Notification Service,Integrated Notifications,Integrated Notification Platform,Centralized management of Email/SMS/Push/LINE etc,Extension,High,Multi-tenant support,
Common Services,Notification Service,Integrated Notifications,Template Management,Common/individual message templates per tenant,New Development,Medium,Multi-tenant support,
Common Services,Notification Service,Integrated Notifications,Delivery Scheduling,Scheduled delivery and automatic optimal send time detection,New Development,Medium,Marketing support,
Common Services,Notification Service,Integrated Notifications,Delivery Analytics,Tracking open rate/click rate/conversion rate,New Development,Medium,Marketing support,
Common Services,Notification Service,Slack Integration,Complete Slack Integration,Slack integration for daily report posting/likes/comment functions,New Development,High,August 2025 Minutes Requirements,★Added
Tenant Features,Member Management,Basic Features,Member Registration & Editing,Online/in-store new registration/profile management,Existing,High,Basic feature,
Tenant Features,Member Management,Basic Features,Member Type Management,Classification management of regular member/virtual member/trial member,Existing,High,Basic feature,
Tenant Features,Member Management,Basic Features,Member Status Management,State transition of active/suspended/cancelled/forced cancellation,Existing,High,Basic feature,
Tenant Features,Member Management,Family Features,Family Account Linking,Parent-child account linking and switching function (Reference: MindBody),New Development,Highest,July 2025 Minutes Important Feature,
Tenant Features,Member Management,Family Features,Account Switching,Account switching between family members/proxy operations,New Development,Highest,July 2025 Minutes Important Feature,
Tenant Features,Member Management,Family Features,Family Schedule Sharing,Integrated display of lesson bookings/attendance status for all family members,New Development,High,Family-oriented feature,
Tenant Features,Member Management,Advanced Features,Segment Management,Dynamic segment generation based on attributes/behavior history,Existing,Medium,Marketing,
Tenant Features,Member Management,Advanced Features,Member Ranking System,Rank up/down based on usage frequency/amount,Existing,Medium,Loyalty,
Tenant Features,Member Management,Advanced Features,Blacklist Management,Matching by name/phone number/address/reason recording,Feature Extension,High,June 2025 Minutes Requirements,
Tenant Features,Member Management,Advanced Features,Duplicate Member Detection,Same person identification when email address changes,New Development,High,June 2025 Minutes Requirements,
Tenant Features,Reservation & Schedule,Lesson Booking,Multi-studio Booking,Integrated booking system across multiple locations,Existing,High,Basic feature,
Tenant Features,Reservation & Schedule,Lesson Booking,Real-time Availability,Instant updates via WebSocket,Existing,Medium,UX improvement,
Tenant Features,Reservation & Schedule,Lesson Booking,Waiting List,Automatic promotion on cancellation,Existing,Medium,UX improvement,
Tenant Features,Reservation & Schedule,Lesson Booking,Booking Restriction Management,Control of bookable numbers by member type,Existing,Medium,Operation management,
Tenant Features,Reservation & Schedule,Schedule Management,Lesson Schedule Creation,Flexible settings for regular/irregular lessons,Existing,High,Basic feature,
Tenant Features,Reservation & Schedule,Schedule Management,Instructor Assignment,Automatic/manual assignment considering instructor availability,Existing,Medium,Efficiency,
Tenant Features,Reservation & Schedule,Schedule Management,Studio Utilization Optimization,AI-based demand forecasting and optimal placement suggestions,New Development,Low,Subsidy Target AI Feature,
Tenant Features,Reservation & Schedule,Schedule Management,Change Notifications,Automatic notification of schedule changes,Existing,Medium,UX improvement,
Tenant Features,Payment & Sales Management,Payment Processing,Multi-payment Support,Credit card (GMO/Stripe)/Bank transfer (JACS)/In-store payment,Existing,Highest,Basic feature,
Tenant Features,Payment & Sales Management,Payment Processing,Automatic Failover,Automatic switching to alternative means on payment failure,Feature Extension,Highest,July 2025 Minutes Requirements,
Tenant Features,Payment & Sales Management,Payment Processing,Non-retention of Payment Information,Secure payment with tokenization compliant with PCI DSS,Existing,Highest,Security,
Tenant Features,Payment & Sales Management,Payment Processing,Area-specific Payment Settings,Differentiation between Shibuya/Yokohama (JACS) and Gunma/Tochigi (Gunma Bank),Feature Extension,Highest,June 2025 Minutes Requirements,
Tenant Features,Payment & Sales Management,Sales & Billing Management,Automatic Billing Processing,Automatic monthly fee deduction/retry on failure,Existing,High,Basic feature,
Tenant Features,Payment & Sales Management,Sales & Billing Management,Flexible Pricing,Complex calculations for campaign prices/discounts/points usage,Existing,High,Basic feature,
Tenant Features,Payment & Sales Management,Sales & Billing Management,Invoice Issuance,Automatic generation and distribution of electronic invoices,Existing,Medium,Basic feature,
Tenant Features,Payment & Sales Management,Sales & Billing Management,Accounts Receivable Management,Gradual response to payment delays (notification→debt collection→forced cancellation),Existing,High,Basic feature,
Tenant Features,Lessons & Events,Online Lessons,Live Streaming,Real-time streaming via Zoom/YouTube integration,Implementation in Progress,High,June 2025 Minutes Continuation,
Tenant Features,Lessons & Events,Online Lessons,Recorded Viewing,On-demand viewing and viewing period management,Implementation in Progress,Medium,June 2025 Minutes Continuation,
Tenant Features,Lessons & Events,Online Lessons,Hybrid Support,Booking management for simultaneous in-person/online sessions,Implementation in Progress,Medium,June 2025 Minutes Continuation,
Tenant Features,Lessons & Events,Online Lessons,Viewing Analytics,Analysis of viewing time/drop-off rate,New Development,Low,Analytics feature,
Tenant Features,Lessons & Events,Events & Workshops,Event Creation,Single/multiple event settings,Existing,High,Basic feature,
Tenant Features,Lessons & Events,Events & Workshops,Ticket Sales,Electronic ticket issuance/QR code authentication,Existing,High,Basic feature,
Tenant Features,Lessons & Events,Events & Workshops,Capacity Management,Real-time remaining seats display/handling when full,Existing,Medium,Basic feature,
Tenant Features,Lessons & Events,Events & Workshops,Dance Camp Management,Integrated management of multiple schedules (1day/2day/3day tickets),Feature Extension,Medium,June 2025 Minutes Requirements,
Tenant Features,Lessons & Events,Event Marketing,Event Participant Management,Recording participation history/attribute analysis,New Development,High,July 2025 Minutes Important Feature,
Tenant Features,Lessons & Events,Event Marketing,Major Event Support,Management of largest annual event (Obon etc)/School closure period coordination,New Development,High,July 2025 Minutes Important Feature,
Tenant Features,Lessons & Events,Event Marketing,Post-event Promotion,Automatic email distribution to participants/Flyer distribution record integration,New Development,High,July 2025 Minutes Important Feature,
Tenant Features,Lessons & Events,Event Integration,Event Information Aggregator,Automatic collection and display of dance event information nationwide,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Lessons & Events,Event Booking,Cross-Event Booking,Bulk booking and management function for multiple events,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Lessons & Events,Collaboration,Event Collaboration Function,Support for joint event hosting with other organizations,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Trial Lessons,Trial Management,Trial Lesson Application System,Web application form and My Page integration/Automatic virtual member conversion,Feature Extension,Highest,July 2025 Minutes Important Feature,
Tenant Features,Trial Lessons,Trial Management,Regular Session Management,Management of regular sessions 1-2 times per week (mainly Shibuya/Scramble schools),New Development,High,July 2025 Minutes Important Feature,
Tenant Features,Trial Lessons,Promotion,Post-trial Survey,Automatic survey distribution (Google Forms→System integration),New Development,Highest,July 2025 Minutes Important Feature,
Tenant Features,Trial Lessons,Promotion,Gradual Promotion,Gradual promotion to trial participants/Regular member conversion funnel,New Development,Highest,July 2025 Minutes Important Feature,
Tenant Features,Trial Lessons,Promotion,Follow-up Support,Staff telephone follow-up support,New Development,High,July 2025 Minutes Important Feature,
Tenant Features,Facilities & Resources,Rental Studio,Automatic Fee Calculation,Variable pricing based on user attributes (commercial/non-commercial)/time slots/facility usage,Feature Extension,High,June 2025 Minutes Requirements,
Tenant Features,Facilities & Resources,Rental Studio,Instructor Benefits,Instructor-specific rates/Simplified booking flow,Feature Extension,High,June 2025 Minutes Requirements,
Tenant Features,Facilities & Resources,Rental Studio,Key Management Integration,Entry/exit management with smart locks or QR codes,New Development,Medium,Efficiency,
Tenant Features,Facilities & Resources,Rental Studio,Usage Analytics,Visualization of studio utilization rate/profitability,New Development,Medium,Analytics feature,
Tenant Features,Facilities & Resources,External Integration,Hot Pepper Type Booking Site,External studio rental booking platform,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Facilities & Resources,Network,External Studio Network,Mutual booking and collaboration with other studios,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Facilities & Resources,Evaluation Management,Studio Evaluation & Review Function,Review and rating system by users,New Development,Low,August 2025 Minutes Requirements,★Added
Tenant Features,Facilities & Resources,Inventory & Item Management,Product Master Management,Inventory management of dance supplies/drinks etc,Existing,Medium,Basic feature,
Tenant Features,Facilities & Resources,Inventory & Item Management,Barcode Support,Efficient sales through POS register integration,Existing,Medium,Basic feature,
Tenant Features,Facilities & Resources,Inventory & Item Management,Order Management,Stock alerts and automatic order suggestions,New Development,Low,Efficiency,
Tenant Features,Facilities & Resources,Inventory & Item Management,Stocktaking Function,Regular inventory checks and loss management,New Development,Low,Efficiency,
Tenant Features,Marketing & CRM,Customer Communication,Segment Distribution,Targeting based on attributes/behavior history,Feature Extension,High,June 2025 Minutes Requirements,
Tenant Features,Marketing & CRM,Customer Communication,Marketing Automation,Scenario-based automatic distribution,New Development,Medium,Marketing support,
Tenant Features,Marketing & CRM,Customer Communication,LINE/SNS Integration,Official account integration/Viral support,Feature Extension,Medium,June 2025 Minutes Requirements,
Tenant Features,Marketing & CRM,Customer Communication,Blast Mail Integration,Integration with existing system,Existing,Medium,Basic feature,
Tenant Features,Marketing & CRM,Loyalty Program,Point Management,Integrated management of granting/usage/expiry dates,Feature Extension,Medium,June 2025 Minutes Requirements,
Tenant Features,Marketing & CRM,Loyalty Program,Friend Referral Program,Automatic points for referrer/referred,Feature Extension,High,July 2025 Minutes Important Feature,
Tenant Features,Marketing & CRM,Loyalty Program,Instructor Referral Incentive,Automation of enrollment benefits via instructors,New Development,High,July 2025 Minutes Important Feature,
Tenant Features,Marketing & CRM,Loyalty Program,Member Rank Benefits,Preferential services based on rank,New Development,Medium,Loyalty,
Tenant Features,Marketing & CRM,Internal SNS,Internal SNS Function,Promote information sharing and communication between staff,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Marketing & CRM,Community,Community Building Support,Functions to promote connections between students,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Analytics & Reports,Management Dashboard,Real-time KPIs,Instant display of sales/member count/utilization rate,Existing,High,Basic feature,
Tenant Features,Analytics & Reports,Management Dashboard,Year-over-year Comparison,Visualization of growth rate and factor analysis,Existing,Medium,Analytics feature,
Tenant Features,Analytics & Reports,Management Dashboard,Predictive Analytics,AI-based sales forecast/churn risk prediction,New Development,Low,Subsidy Target AI Feature,
Tenant Features,Analytics & Reports,Management Dashboard,Custom Reports,Free report creation with drag & drop,New Development,Low,Analytics feature,
Tenant Features,Analytics & Reports,Detailed Analysis,Member Analysis,Deep dive into LTV/retention rate/churn factors,Existing,Medium,Analytics feature,
Tenant Features,Analytics & Reports,Detailed Analysis,Lesson Analysis,Popular class/instructor evaluation/time slot analysis,Existing,Medium,Analytics feature,
Tenant Features,Analytics & Reports,Detailed Analysis,Financial Analysis,Departmental P&L/cash flow forecast,New Development,Medium,Analytics feature,
Tenant Features,Analytics & Reports,Detailed Analysis,Competitive Benchmarking,Comparison with anonymized other tenants,New Development,Medium,SaaS-specific feature,
Tenant Features,Staff & Instructor Management,Staff Management,Attendance Management,Time recording via IC card/QR code/Shift management,Existing,Medium,Basic feature,
Tenant Features,Staff & Instructor Management,Staff Management,Permission Management,Function access control based on roles,Existing,High,Security,
Tenant Features,Staff & Instructor Management,Staff Management,Performance Management,Individual/team KPI setting and tracking,New Development,Low,HR management,
Tenant Features,Staff & Instructor Management,Staff Management,Training Management,Training history/skill management,New Development,Low,HR management,
Tenant Features,Staff & Instructor Management,Human Resource Development,Staff Rotation Management,Systematic human resource development and job rotation support in 3-year cycles,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Staff & Instructor Management,Shift Management,Shift Exchange Market,Free shift exchange platform between staff,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Staff & Instructor Management,Instructor Management,Instructor My Page,Check assigned lessons/booking status,New Development,High,June 2025 Minutes Requirements,
Tenant Features,Staff & Instructor Management,Instructor Management,Instructor Studio Usage Automation,Instructor-specific UI/Cheap or free booking/Key management support,New Development,High,June 2025 Minutes Requirements,
Tenant Features,Staff & Instructor Management,Instructor Management,Compensation Calculation,Automatic calculation based on lesson count/student count,New Development,Medium,Efficiency,
Tenant Features,Staff & Instructor Management,Instructor Management,Evaluation Management,Student feedback aggregation,New Development,Low,Quality management,
Tenant Features,Gamification,Staff Evaluation,Staff Achievement Badge System,Badge acquisition and level-up function for business achievements,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Gamification,Team Competition,Team Competition Dashboard,Promote healthy competition between stores and teams,New Development,Medium,August 2025 Minutes Requirements,★Added
Tenant Features,Gamification,Incentive,Surprise Point System,System to evaluate and point-ify surprise behaviors,New Development,Low,August 2025 Minutes Requirements,★Added
Tenant Features,Reception & Authentication System,QR Code Reception,Dynamic QR Code Generation,Unique variable QR display on My Page for each session,New Development,Highest,June 2025 Minutes Important Feature,
Tenant Features,Reception & Authentication System,QR Code Reception,Fraud Prevention,Prevention of reuse fraud/Mandatory scanning at reception,New Development,Highest,June 2025 Minutes Important Feature,
Tenant Features,Reception & Authentication System,QR Code Reception,Electronic Ticket Display,Electronic ticket user My Page display for performances and lessons,Specification Clarification,High,June 2025 Minutes Requirements,
Tenant Features,Reception & Authentication System,High Load Support,Simultaneous Access Concentration Support,High load processing around event recitals (max 1000 people/1h),New Development,Highest,June 2025 Minutes Important Feature,
Tenant Features,Reception & Authentication System,High Load Support,Queue & Order Processing,Queue system and order processing design for concentrated access,New Development,Highest,June 2025 Minutes Important Feature,
AI & Automation Features,AI & Predictive Optimization,Demand Forecasting,Lesson Demand Forecasting,Lesson demand prediction based on historical data,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Predictive Optimization,Demand Forecasting,Dynamic Pricing,Price optimization based on supply and demand balance,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Predictive Optimization,Demand Forecasting,Staff Shift Optimization,Efficient staffing through AI,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Predictive Optimization,Demand Forecasting,Inventory Optimization,Automatic order suggestions based on demand forecasting,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Customer Experience Enhancement,Recommendation,Lesson Recommendation,Lesson suggestions based on personal preferences,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Customer Experience Enhancement,Recommendation,Chatbot,24/7 automated inquiry response,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Customer Experience Enhancement,Recommendation,Anomaly Detection,Early detection and alert of churn risk,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Customer Experience Enhancement,Recommendation,Personalization,Content delivery optimized for individuals,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Customer Experience Enhancement,Emotion Analysis,Emotion Analysis Alert,Analyze staff emotional state and alert when care is needed,New Development,Medium,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI & Customer Experience Enhancement,Personalization,Personalized Journey,Automatic design of optimized experience and growth path for each student,New Development,Medium,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI & Customer Experience Enhancement,Surprise Proposal,Automatic Surprise Proposal,Automatic surprise proposals for student anniversaries and achievements,New Development,Low,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI & Operation Efficiency,Automation Support,Staff Task Support,Automatic guidance for non-logged-in users/Automatic follow-up task generation,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI & Operation Efficiency,Automation Support,Inquiry Automation,Automatic inquiry classification/answer suggestion,New Development,Low,Subsidy Target AI Feature,
AI & Automation Features,AI Business Support,Daily Report Analysis,AI Daily Report Analysis System,Automatically analyzes achievements/information/emotions and summarizes key points for management,New Development,High,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI Business Support,Issue Management,Automatic Issue Extraction AI,Automatically detects issues from daily reports and Slack conversations and converts to prioritized Todos,New Development,High,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI Business Support,Management Support,AI Yusuke (Management Advisor AI),Decision support based on management philosophy/Expense management proposals,New Development,Medium,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI Business Support,Trial Automation,Complete Trial Lesson Automation Flow,Complete automation of care/DM/follow-up,New Development,High,August 2025 Minutes Requirements,★Added
AI & Automation Features,AI Business Support,Meeting Minutes Creation,Automatic Meeting Minutes Generation,Automatic transcription and summary generation from meeting audio,New Development,Medium,August 2025 Minutes Requirements,★Added
AI & Automation Features,Human Resource Optimization,Personality Analysis,MBTI Personality Test Integration,Staff/instructor personality type management and compatibility analysis,New Development,Low,August 2025 Minutes Requirements,★Added
AI & Automation Features,Human Resource Optimization,Team Formation,AI Team Formation Optimization,Optimal team formation suggestions considering personality/skills/experience,New Development,Low,August 2025 Minutes Requirements,★Added
AI & Automation Features,Human Resource Optimization,Instructor Matching,Instructor Matching AI,Optimization of collaboration between instructors (En creation feature),New Development,Medium,August 2025 Minutes Requirements,★Added
AI & Automation Features,Shift Management,Automatic Generation,AI Automatic Shift Creation,Fully automatic shift generation considering demand forecast/staff preferences/skills,New Development,High,August 2025 Minutes Requirements,★Added
AI & Automation Features,Shift Management,Staff Optimization,Optimal Staffing Proposal,AI predicts and proposes required staff by time slot,New Development,Medium,August 2025 Minutes Requirements,★Added
System Infrastructure,Security & Compliance,Data Protection,Data Encryption,Encryption at rest/in transit,Existing,Highest,Security foundation,
System Infrastructure,Security & Compliance,Data Protection,Personal Information Protection,GDPR/Personal Information Protection Law compliance,Existing,Highest,Security foundation,
System Infrastructure,Security & Compliance,Data Protection,Access Log,Recording all operations and audit trail,Existing,High,Security foundation,
System Infrastructure,Security & Compliance,Data Protection,Security Audit,Regular vulnerability assessment and penetration testing,New Development,High,Security foundation,
System Infrastructure,Integration,External Integration,Accounting System Integration,Data integration with major accounting software,New Development,Medium,Business efficiency,
System Infrastructure,Integration,External Integration,Payment Gateway,Integrated management of multiple payment services,Existing,High,Basic feature,
System Infrastructure,Integration,External Integration,External Marketing Tools,Integration with MA tools/CRM,New Development,Low,Marketing support,
System Infrastructure,Integration,External Integration,IoT Device Integration,Entry/exit management/security camera system,New Development,Low,Facility management,
System Infrastructure,Mobile Support,Responsive,Responsive Design,PC/Tablet/Smartphone optimization,Existing,High,Basic feature,
System Infrastructure,Mobile Support,Responsive,Progressive Web App,Offline support/Push notifications,New Development,Medium,UX improvement,
System Infrastructure,Mobile Support,Responsive,Native App,iOS/Android dedicated apps (future plan),Future Plan,Low,UX improvement,
System Infrastructure,Mobile Support,Responsive,QR Code Function,Check-in/Payment/Member card display,Existing,High,Basic feature,
Migration & Implementation Support,Data Migration,Data Import,Existing Data Import,CSV import function,Existing,High,Migration required,
Migration & Implementation Support,Data Migration,Data Import,Data Cleansing,Deduplication/format standardization,New Development,High,Migration required,
Migration & Implementation Support,Data Migration,Data Import,Phased Migration,Sequential switching by location,New Development,Medium,Migration strategy,
Migration & Implementation Support,Data Migration,Data Import,Parallel Operation Period,Support for simultaneous operation of old and new systems,New Development,Medium,Migration strategy,
Migration & Implementation Support,Implementation Support,Onboarding,Onboarding,Gradual feature release,New Development,High,SaaS-specific feature,
Migration & Implementation Support,Implementation Support,Onboarding,Training,Role-based operation training,New Development,Medium,SaaS-specific feature,
Migration & Implementation Support,Implementation Support,Onboarding,Help Center,Operation manual/FAQ/Video guide,New Development,Medium,SaaS-specific feature,
Migration & Implementation Support,Implementation Support,Onboarding,Support System,Chat/Email/Phone support,New Development,High,SaaS-specific feature,
